umur,jenis_kelamin,status_ekonomi,jarak_ke_sekolah,nilai_rata2,kehadiran,akses_internet,pendidikan_ortu,jumlah_saudara,konflik_keluarga,dukungan_orangtua,dropout
18,1,2,2.66,75.16,59.81,1,1,0,0,0,1
13,0,0,8.74,59.69,56.28,1,0,1,0,0,1
14,1,0,1.32,92.94,98.17,1,2,2,2,1,1
13,0,1,14.93,83.85,55.4,0,1,1,2,0,1
12,0,2,18.4,91.9,73.92,0,2,3,2,1,0
16,1,0,5.96,92.94,79.28,1,1,2,0,0,1
15,1,0,17.24,87.42,77.07,1,2,2,2,2,1
13,0,2,6.2,71.96,54.3,1,0,3,1,0,1
18,1,0,18.26,80.53,52.85,1,2,4,0,1,1
12,0,0,15.2,58.02,55.27,1,1,2,2,1,1
15,0,2,16.2,83.68,79.28,1,0,1,0,0,0
16,0,2,0.85,58.96,77.22,0,2,0,1,2,0
15,1,2,19.27,84.7,61.69,1,1,1,0,0,1
12,0,2,14.67,61.48,81.89,1,0,4,2,0,1
17,0,1,6.44,55.88,91.0,1,2,0,1,0,1
17,1,2,16.67,58.26,52.08,1,1,1,1,2,1
15,1,1,5.99,50.1,74.91,1,2,1,2,1,1
14,1,1,17.52,85.94,84.47,1,2,3,2,2,0
18,1,1,2.7,86.62,62.62,0,0,4,2,1,1
18,0,0,14.22,75.75,65.39,0,0,3,0,1,1
15,0,1,11.04,58.07,80.68,0,1,0,0,1,0
13,0,1,2.38,54.18,94.9,0,0,3,0,2,0
13,0,0,5.22,50.96,90.5,0,1,4,2,0,1
18,1,0,0.74,58.29,79.16,0,2,2,2,0,1
18,0,0,9.64,94.54,86.51,1,2,2,0,0,1
17,0,2,6.37,62.08,68.24,1,1,0,1,0,1
14,1,0,12.17,67.71,82.05,1,2,2,0,0,1
12,0,0,6.3,55.27,73.31,1,0,3,1,2,1
13,0,1,6.35,61.12,59.5,1,2,0,2,2,1
18,0,0,14.99,75.96,85.09,1,0,4,2,2,1
17,0,2,1.44,80.39,77.82,0,1,0,0,2,0
16,0,0,18.11,62.27,67.93,1,1,0,0,2,1
17,0,2,17.12,52.89,95.57,0,2,1,2,2,1
13,1,0,13.52,69.55,51.05,0,2,1,0,2,1
13,1,0,12.07,61.71,65.79,1,0,0,2,0,1
17,0,0,17.9,60.98,52.84,1,0,2,2,1,1
12,0,0,4.11,97.99,88.33,1,2,1,1,2,0
15,1,2,2.04,80.82,85.11,1,2,4,0,1,0
13,0,2,5.17,77.84,66.57,1,1,3,2,2,1
17,0,1,15.99,70.79,83.78,1,1,1,0,2,0
18,0,2,1.18,71.45,69.8,1,1,0,1,0,1
17,1,0,11.86,77.05,87.81,0,2,2,1,1,0
14,0,1,19.91,84.82,72.71,1,2,3,0,0,0
15,1,1,17.19,85.11,70.61,1,2,1,0,0,0
16,0,1,10.67,58.58,96.74,0,1,2,2,1,1
12,1,0,1.74,75.01,62.54,1,2,2,1,0,1
16,1,2,16.71,70.6,56.02,1,0,2,1,2,0
15,0,0,12.18,93.53,79.23,0,2,0,1,2,0
15,1,1,2.74,81.57,98.47,1,2,4,0,2,0
15,0,0,2.33,76.63,68.89,1,2,2,2,2,1
16,1,0,18.24,55.77,53.1,1,2,3,0,2,1
18,0,2,13.55,80.28,66.97,1,2,1,0,0,1
15,0,2,16.67,55.86,75.3,1,0,3,0,0,1
17,1,1,17.64,66.86,58.1,1,0,0,2,2,1
16,0,0,11.65,57.14,82.91,0,2,0,0,2,1
15,0,0,10.59,84.6,99.89,1,1,3,1,0,1
17,1,2,8.89,60.31,72.59,1,2,4,1,1,0
18,0,0,6.68,69.59,67.74,0,2,0,1,0,1
14,0,0,8.97,94.78,70.04,0,2,0,2,0,1
18,1,0,15.59,60.22,55.76,1,1,3,0,0,1
15,1,2,12.24,75.39,94.16,0,1,0,2,0,1
16,0,1,17.9,70.96,70.74,1,1,4,0,0,0
13,0,1,9.15,50.91,69.36,1,0,4,1,1,1
15,1,0,12.34,89.64,82.98,0,1,4,0,2,0
13,1,1,12.81,53.45,72.1,1,0,1,0,2,0
17,0,2,12.04,73.71,82.41,1,0,4,0,1,0
14,1,2,14.2,78.03,53.07,0,1,4,2,2,1
12,0,1,5.13,81.42,90.69,0,1,1,0,2,0
18,0,1,10.49,84.43,97.03,0,1,2,0,2,0
14,0,0,2.53,62.66,82.44,0,0,0,0,1,1
15,0,1,8.0,50.5,97.73,1,2,4,2,1,1
13,0,0,10.01,86.17,57.57,0,1,0,2,2,1
18,1,0,13.22,76.78,73.87,0,1,3,2,2,1
13,1,2,19.04,91.81,80.09,0,1,0,0,2,0
16,1,2,12.21,91.07,79.09,0,0,1,1,0,0
13,1,2,15.0,92.17,70.07,0,0,0,1,0,0
16,0,2,10.37,74.25,66.9,1,2,0,1,0,1
17,0,1,12.87,66.68,56.34,0,1,0,0,1,0
18,0,2,1.88,89.58,69.59,1,0,2,1,2,0
18,0,1,5.46,72.56,58.13,0,2,2,1,1,0
12,1,2,7.56,59.17,86.72,0,1,3,1,1,0
15,0,1,9.71,92.75,60.44,0,0,1,0,1,0
16,0,0,1.39,94.13,52.93,0,1,0,1,2,1
12,1,1,3.23,73.32,77.62,0,1,0,1,0,0
13,1,1,5.9,53.78,79.76,0,0,0,0,2,0
13,1,2,19.44,69.39,93.6,0,0,0,2,2,0
12,1,1,6.96,90.18,78.85,0,0,2,1,1,0
18,0,0,9.9,95.09,67.27,1,1,3,2,1,1
13,0,0,4.32,60.17,90.15,0,1,4,1,1,1
17,1,2,12.41,53.35,77.01,1,2,1,0,0,1
17,0,0,5.97,93.87,53.96,0,1,0,2,0,1
12,0,1,4.54,69.47,78.29,1,0,3,2,0,1
16,0,0,10.57,77.09,95.4,0,1,4,2,2,1
16,1,2,0.61,98.4,69.82,0,2,3,2,1,1
12,0,1,0.65,53.33,64.82,0,2,2,1,2,1
16,1,2,4.77,82.42,57.17,1,0,4,1,0,1
18,0,1,1.22,53.71,57.57,1,0,3,2,1,1
18,0,0,2.61,68.77,71.64,1,2,2,1,0,1
16,0,2,7.11,90.19,79.78,1,2,3,2,1,0
17,1,2,16.15,71.67,54.03,0,2,3,2,1,1
16,0,1,11.65,99.86,96.98,0,0,4,0,2,0
18,1,2,10.5,77.95,87.76,0,2,2,2,2,0
14,1,1,6.22,66.06,79.33,1,2,0,1,0,0
15,1,1,18.67,61.01,91.42,0,0,1,2,2,1
13,0,1,8.24,67.53,54.01,1,1,4,0,2,0
14,0,1,2.2,68.63,73.84,1,1,2,1,2,0
16,0,0,12.53,53.44,81.5,1,2,3,0,1,1
17,0,1,2.72,68.48,91.43,1,1,2,0,2,0
12,1,2,7.23,73.21,89.17,1,1,1,2,0,1
16,1,0,10.39,86.14,63.85,0,1,1,0,1,1
17,1,2,17.55,82.84,97.04,1,1,0,0,1,0
15,0,0,10.12,85.44,56.22,1,2,0,1,2,1
16,1,1,14.19,50.42,93.76,0,1,1,0,1,0
18,0,0,19.86,60.88,98.55,1,1,4,2,0,1
12,1,0,3.06,83.08,58.86,1,0,4,2,0,1
17,0,2,5.86,74.2,86.1,0,2,3,2,1,0
17,0,2,8.19,50.27,52.01,0,0,0,0,2,1
17,1,1,8.73,90.22,70.27,0,0,3,1,2,0
15,1,0,8.51,88.64,75.81,1,2,0,2,1,1
16,1,0,18.2,77.42,79.03,0,1,1,0,0,1
15,1,0,14.42,53.32,96.8,0,0,4,2,1,1
13,0,1,12.35,88.33,83.61,0,2,4,2,2,0
13,1,1,6.53,79.19,74.06,1,1,1,1,2,0
16,1,1,16.56,89.1,90.48,0,2,3,2,1,0
18,1,1,19.12,87.59,97.53,1,0,3,1,0,0
15,0,1,16.51,90.15,51.1,1,1,2,0,1,0
12,0,2,0.53,75.9,99.13,0,1,0,2,0,1
17,1,0,12.91,57.02,54.31,1,2,3,0,0,1
17,0,0,1.5,83.56,90.72,1,1,1,0,1,0
16,1,0,5.52,81.02,64.02,0,0,3,0,1,1
18,0,0,1.66,87.11,56.61,1,0,4,2,0,1
13,0,0,12.27,58.49,71.99,0,0,0,1,0,1
13,0,0,13.89,59.75,82.2,1,2,2,2,0,1
17,0,0,2.73,94.52,69.05,1,1,0,0,0,1
16,1,0,7.98,87.5,52.73,0,1,4,1,2,1
15,1,2,9.4,95.41,79.97,0,1,4,0,1,0
13,1,0,7.7,87.94,95.12,1,0,4,1,0,1
15,0,2,2.86,79.86,69.16,1,1,4,2,1,1
18,1,1,8.67,82.71,60.82,0,0,1,1,0,1
13,1,0,15.15,94.46,72.13,1,1,2,2,1,1
13,1,1,1.88,78.94,52.42,1,0,4,0,1,0
14,0,1,2.06,81.62,91.02,1,1,4,1,0,0
13,0,1,7.42,57.82,91.32,1,2,3,0,0,1
12,0,2,18.86,73.7,79.4,0,2,2,1,1,0
16,1,1,13.54,85.82,67.66,0,0,0,2,1,1
16,1,1,13.73,63.55,89.99,0,0,2,1,1,0
15,1,1,7.56,60.11,77.73,0,1,2,1,2,0
18,0,0,12.08,65.69,91.3,0,1,2,2,0,1
13,0,0,0.7,62.08,81.57,0,2,4,2,2,1
12,1,2,12.9,60.75,89.22,1,1,4,2,2,1
15,0,2,18.31,71.24,79.93,0,0,1,1,0,0
14,0,0,12.45,95.39,70.71,1,0,0,0,0,1
15,0,2,17.54,75.35,97.9,1,0,3,1,2,0
15,0,0,14.62,59.4,77.06,1,0,2,1,0,1
13,1,1,2.85,53.85,80.25,0,0,0,0,1,0
14,0,1,18.1,84.81,61.02,1,2,0,2,1,1
15,0,2,1.8,69.14,81.28,0,2,1,1,2,0
12,0,0,10.91,91.09,78.58,1,0,3,0,2,0
12,0,0,3.27,82.98,59.24,1,1,2,2,0,1
16,1,2,0.73,89.81,52.98,0,0,3,2,0,1
14,1,0,8.73,63.6,80.22,1,2,1,1,2,1
14,0,1,6.25,84.62,88.18,1,0,4,2,2,0
16,0,2,9.98,63.2,76.17,1,2,0,2,1,1
15,0,2,11.76,96.95,61.34,1,2,2,0,1,0
14,0,0,1.35,81.82,83.33,0,0,4,0,0,1
12,0,2,2.9,66.23,54.01,1,0,1,2,1,1
12,0,0,11.39,63.48,72.09,1,1,3,0,0,1
13,1,0,7.19,59.55,58.17,0,2,0,2,0,1
14,0,0,14.72,84.73,59.22,1,1,2,1,0,1
15,1,0,13.22,60.94,60.11,1,0,4,0,1,1
16,1,0,16.99,79.77,69.34,1,2,4,2,2,1
16,0,2,14.0,63.23,52.56,1,1,0,2,2,1
15,1,1,8.88,83.1,69.89,0,1,3,0,1,0
18,1,1,13.62,90.75,75.59,1,1,1,0,2,0
17,1,2,5.87,88.9,74.16,0,0,3,1,0,0
13,1,2,6.47,88.04,69.14,1,0,3,2,2,1
16,1,1,15.89,59.39,91.96,1,0,3,1,1,0
14,1,1,9.21,54.42,57.27,1,2,0,1,2,1
13,0,1,16.07,84.95,75.28,0,0,0,1,0,0
14,1,1,16.54,68.42,53.1,1,2,1,0,0,1
18,1,1,17.22,71.62,53.56,1,1,3,1,1,0
12,1,0,18.37,51.56,78.69,0,1,0,0,1,1
13,0,2,8.9,62.98,78.3,0,0,1,0,1,0
16,1,0,6.72,51.68,93.9,0,1,1,1,0,1
13,0,1,11.85,93.96,77.89,0,0,3,1,2,0
13,1,1,7.74,62.17,97.99,1,2,2,2,2,1
13,0,1,12.22,77.87,52.43,1,1,3,1,1,0
17,0,0,14.26,51.95,54.9,1,0,2,2,2,1
13,1,0,13.92,83.34,52.2,1,1,1,1,2,1
14,1,1,7.8,66.15,59.26,0,1,0,1,1,0
12,0,0,3.75,94.9,77.06,1,0,4,1,1,0
18,1,0,8.9,94.41,82.28,1,1,1,1,0,1
15,0,1,3.28,66.26,52.28,1,1,0,2,0,1
13,0,0,17.86,95.05,97.3,1,1,1,2,0,1
16,0,2,7.24,99.81,92.11,0,1,3,1,0,0
13,0,2,3.51,91.27,64.83,1,2,2,1,2,0
16,0,2,1.0,92.24,53.86,1,1,1,2,2,1
14,1,2,13.09,62.45,58.49,1,1,0,0,0,1
16,0,1,12.92,78.84,56.35,0,0,3,0,0,1
15,0,1,7.14,53.36,56.16,0,2,4,0,1,1
12,1,1,1.9,54.75,75.93,1,0,3,2,2,1
16,0,2,8.49,99.94,62.29,1,0,2,2,2,1
16,1,2,6.57,66.33,67.91,1,0,3,0,0,1
12,1,0,13.7,87.41,99.48,0,2,4,0,2,0
15,1,0,12.31,90.33,84.22,1,0,0,1,1,0
13,0,2,7.61,92.9,97.45,1,0,1,2,1,0
16,0,2,4.75,99.88,57.13,1,0,2,2,2,1
12,0,2,19.77,62.07,69.11,0,1,4,0,0,1
14,1,2,9.35,52.02,77.74,1,0,2,0,2,0
12,0,0,13.92,70.56,53.84,1,2,3,2,1,1
14,1,2,3.24,56.5,50.21,0,2,2,1,0,1
15,0,0,9.97,51.12,83.52,0,1,4,0,2,1
13,1,2,1.04,68.02,82.09,1,2,1,2,0,1
12,0,2,10.36,89.19,70.54,0,2,1,2,0,1
18,0,2,19.3,78.31,74.48,1,1,2,1,1,0
18,0,0,7.99,65.64,70.77,0,0,0,1,0,1
17,1,0,1.26,82.72,51.2,0,1,2,0,2,1
16,1,1,1.1,61.6,66.77,1,0,3,0,0,1
15,0,2,8.07,50.72,58.85,1,0,1,0,0,1
12,0,1,3.62,88.22,54.92,1,2,1,2,2,1
18,1,1,0.96,81.19,97.84,0,1,1,0,1,0
16,1,0,15.25,88.12,79.97,1,2,0,2,1,1
18,1,0,9.44,51.95,86.43,1,2,0,0,2,1
12,0,1,6.14,91.86,65.77,1,0,4,1,2,0
14,1,2,18.05,80.98,69.66,1,2,2,1,1,0
12,0,0,2.76,78.17,61.85,1,1,2,2,0,1
17,1,2,19.14,81.23,54.85,0,2,3,1,2,0
12,0,2,6.62,93.22,58.95,1,2,1,2,0,1
12,1,1,17.82,79.35,89.88,1,0,0,2,2,0
17,1,1,12.26,79.05,83.88,0,1,3,1,1,0
15,1,1,16.62,99.53,77.35,1,2,3,2,0,1
12,1,1,19.69,87.84,73.75,1,0,0,1,0,0
17,1,0,6.12,72.11,96.12,1,2,2,0,2,0
16,0,0,19.24,85.37,53.64,1,1,1,0,0,1
14,1,1,8.09,69.46,64.03,1,2,2,1,2,0
14,1,0,8.02,61.44,67.5,0,2,3,1,1,1
12,1,1,7.14,79.84,89.12,0,0,1,1,0,0
15,0,2,11.06,96.41,99.63,0,2,4,1,2,0
15,1,2,3.51,96.46,62.03,1,0,3,0,0,1
16,0,2,11.3,67.1,93.72,0,1,2,2,2,0
12,1,1,11.06,76.38,91.53,1,2,2,2,2,0
14,1,2,15.36,60.58,61.23,1,1,2,0,2,1
15,0,0,16.76,99.78,69.97,1,1,0,2,1,1
12,1,2,9.09,99.06,70.48,0,2,3,0,0,0
18,0,2,6.4,82.48,98.91,0,0,1,2,1,0
15,0,2,5.56,90.22,59.04,0,1,2,1,2,0
17,1,0,4.3,85.76,89.96,1,1,2,1,2,0
18,0,1,1.62,79.66,66.71,0,2,0,1,1,0
15,1,0,7.18,52.67,86.54,1,2,1,0,1,1
14,1,1,5.77,72.74,71.0,0,2,3,0,0,0
13,0,1,19.35,83.74,78.92,0,2,4,2,2,0
18,0,2,11.38,83.88,91.63,1,2,0,2,1,0
16,0,1,7.27,68.66,90.21,1,2,3,2,2,0
16,0,0,11.82,97.08,93.32,0,0,4,0,2,0
14,1,0,3.21,58.37,52.98,0,1,2,2,0,1
15,1,1,9.16,75.02,84.6,0,0,2,1,0,0
12,0,2,12.71,84.54,57.0,1,0,1,2,0,1
15,1,2,10.03,84.86,70.79,1,2,4,1,1,0
14,1,0,8.33,82.43,77.43,0,1,2,0,2,0
16,1,2,19.88,63.76,70.14,0,0,2,1,1,0
15,1,1,17.67,57.81,75.98,1,2,1,1,1,0
16,0,1,12.66,81.8,99.83,0,2,3,1,0,0
18,0,0,11.6,79.97,56.76,1,1,2,0,2,1
12,1,1,12.6,58.97,83.77,1,0,0,0,2,0
18,0,0,4.43,85.26,69.8,1,0,0,0,0,1
16,0,1,8.21,72.76,56.65,1,0,3,0,2,0
16,0,0,1.27,83.39,57.94,1,2,4,2,0,1
13,1,2,9.77,91.87,97.46,1,1,1,0,1,0
13,1,1,11.09,58.49,93.98,0,1,0,1,1,0
18,1,1,4.94,50.96,95.35,1,0,0,0,0,1
17,0,0,19.3,88.96,99.58,1,2,3,2,1,1
18,1,0,18.23,80.48,60.42,0,0,4,2,1,1
13,1,1,14.58,84.98,67.77,1,1,4,2,0,1
16,0,0,10.9,91.91,83.46,0,2,3,1,1,0
14,1,1,17.46,90.14,74.19,1,0,0,0,2,0
18,1,2,3.05,98.05,70.92,0,0,1,0,1,0
16,0,0,15.91,76.8,67.89,0,2,0,0,0,1
14,0,1,2.93,74.42,79.69,1,1,4,1,2,0
14,0,2,15.99,70.09,78.78,1,2,0,1,2,0
13,1,2,5.88,57.68,58.07,1,0,1,2,1,1
18,1,1,17.6,78.63,73.59,1,0,2,2,2,0
15,1,0,18.91,63.85,77.67,0,0,0,0,0,1
12,0,1,3.4,96.07,78.51,0,0,3,1,2,0
13,0,2,9.52,79.16,60.51,0,1,2,1,1,0
13,1,1,19.63,79.64,87.11,1,1,3,0,1,0
15,1,0,9.93,67.75,51.26,0,0,3,0,2,1
12,0,2,17.34,52.6,67.74,1,1,3,2,0,1
16,0,1,11.98,51.59,89.01,1,1,0,2,0,1
17,0,0,7.82,71.17,78.19,0,1,4,2,1,1
18,0,2,6.07,54.23,63.06,1,0,2,0,1,1
17,1,0,4.46,80.34,84.75,0,2,1,0,0,1
16,0,2,15.36,94.05,78.37,1,2,4,2,2,0
13,1,1,8.04,94.15,89.81,0,2,0,2,2,0
12,1,0,10.47,82.95,86.75,1,0,3,1,2,0
13,1,2,10.1,60.56,80.51,0,1,1,1,2,0
14,0,0,11.76,93.15,74.41,0,1,2,2,0,1
13,0,0,17.38,94.3,56.66,1,0,4,2,1,1
13,0,1,19.62,59.83,63.07,1,0,4,1,1,1
16,0,0,8.45,86.87,70.95,0,2,1,2,2,1
16,1,2,16.64,64.33,79.96,1,2,0,1,0,1
16,0,2,15.41,90.13,75.69,1,0,2,1,0,0
17,0,2,11.68,99.86,64.41,1,2,1,1,2,0
14,1,2,19.14,51.5,50.32,0,1,3,0,2,1
16,0,1,4.41,94.87,74.81,0,0,2,0,2,0
12,1,0,2.63,81.13,64.28,1,0,4,2,1,1
17,1,1,17.15,98.67,86.73,1,1,1,1,2,0
15,1,0,9.06,73.25,51.2,0,1,4,0,1,1
12,1,0,17.02,92.37,79.24,1,1,4,2,0,1
18,1,0,17.92,53.12,97.07,0,2,4,2,0,1
18,1,1,1.72,66.76,58.72,1,0,0,2,1,1
12,1,0,17.73,53.35,73.58,1,2,4,2,1,1
16,1,1,9.24,98.77,54.57,1,1,3,2,1,1
15,0,2,10.45,90.85,81.28,0,2,3,1,1,0
15,0,2,12.72,92.63,77.53,0,1,2,2,2,0
17,0,0,18.56,96.9,70.37,0,2,4,1,0,1
15,0,1,0.87,54.26,76.07,0,2,4,0,2,0
18,1,2,9.8,69.28,94.83,1,1,1,2,1,0
14,0,1,13.91,53.55,59.81,1,2,0,0,2,1
16,1,1,14.59,60.54,51.13,0,0,2,1,2,1
15,0,0,14.0,61.47,93.08,1,2,4,1,0,1
17,0,2,3.12,73.46,78.86,1,2,1,0,2,0
18,0,0,6.34,63.43,94.53,0,0,0,2,0,1
14,1,0,7.49,55.05,79.85,1,1,2,2,1,1
13,0,2,16.19,58.37,90.51,1,0,2,0,2,0
13,1,2,5.94,57.36,71.48,0,2,4,0,1,0
14,1,1,4.61,98.65,87.49,1,1,2,0,0,0
18,0,2,19.17,87.96,95.65,1,2,1,2,1,0
17,0,1,0.67,98.39,78.61,1,2,2,2,1,0
14,0,1,19.96,71.99,59.04,0,0,3,2,0,1
16,1,1,13.7,63.92,63.44,0,0,1,0,1,1
16,0,2,16.66,89.91,59.93,1,1,0,2,1,1
13,1,0,6.25,66.31,62.34,1,1,0,1,1,1
15,1,1,0.78,64.97,65.32,1,1,4,0,2,1
17,0,0,14.89,61.63,77.76,0,2,4,2,1,1
13,0,0,16.77,56.48,79.4,0,0,3,0,0,1
15,1,2,14.94,62.82,71.32,0,0,0,1,2,0
15,1,0,3.29,67.77,80.77,1,0,0,1,2,0
16,1,0,15.19,83.7,54.08,1,1,0,0,0,1
18,0,2,15.49,53.13,54.39,1,0,0,0,1,1
12,1,1,13.34,60.53,58.59,1,0,2,1,2,1
18,0,0,15.44,90.45,75.9,1,0,1,0,2,0
12,1,2,17.0,57.35,60.7,0,1,1,1,2,1
14,1,0,12.47,67.13,64.16,1,0,3,1,1,1
16,0,0,2.23,93.23,70.02,1,1,2,2,2,1
15,1,1,10.01,57.75,90.59,1,0,0,0,0,1
17,0,0,2.01,54.14,50.69,0,0,0,0,1,1
12,0,2,8.45,74.23,82.47,1,0,4,2,0,1
18,1,0,8.44,65.12,83.44,0,1,4,1,0,1
15,0,1,1.79,78.17,89.93,0,1,3,0,2,0
12,0,1,7.3,90.19,96.64,0,0,0,2,2,0
12,1,2,2.66,56.86,51.01,0,2,3,2,2,1
12,0,1,16.26,79.03,57.69,0,1,2,0,0,1
17,0,0,18.98,75.28,94.31,1,1,1,2,1,1
16,0,1,1.91,57.2,72.93,1,0,0,1,2,0
17,1,2,19.12,81.2,78.23,0,2,2,2,2,0
13,0,1,10.69,63.68,83.15,0,0,0,1,0,1
15,1,1,6.34,74.39,83.95,0,1,4,1,1,0
16,1,1,2.0,54.11,96.59,1,1,3,0,0,1
16,0,2,10.26,72.98,99.85,1,0,4,2,2,0
16,0,1,15.99,65.32,86.01,0,0,1,1,0,0
18,0,1,14.29,91.12,64.36,1,2,4,1,2,0
16,1,0,1.48,52.85,93.99,1,2,0,2,1,1
17,0,2,1.92,70.93,52.46,0,1,4,1,0,1
16,0,1,8.36,72.92,61.55,0,2,0,2,2,1
14,0,2,6.26,86.25,94.87,1,2,1,0,2,0
15,0,1,5.03,78.71,62.81,1,1,4,1,2,0
16,0,1,5.98,83.36,61.03,1,1,3,1,2,0
15,1,1,16.17,88.85,56.91,0,1,3,2,0,1
14,1,0,18.62,93.11,92.96,0,1,3,2,2,1
14,0,0,8.4,65.69,75.0,0,0,4,2,0,1
15,0,0,18.17,76.9,83.74,1,1,4,2,2,1
12,0,2,6.77,92.01,61.95,1,1,4,1,0,1
13,0,2,9.79,99.47,87.9,0,1,0,0,0,0
18,1,0,4.91,94.48,88.0,1,2,1,0,2,0
12,0,2,12.99,68.57,65.63,0,1,3,0,2,0
12,1,1,19.59,59.76,70.53,1,0,0,0,2,0
17,1,1,12.27,74.47,60.48,0,0,3,2,2,1
18,0,1,7.48,87.08,98.83,1,1,0,1,1,0
18,1,0,13.13,74.63,82.28,1,0,4,1,2,0
12,1,2,2.9,74.16,96.73,0,2,3,1,2,0
16,1,0,17.83,91.91,65.17,0,1,4,2,2,1
17,1,2,10.31,68.07,89.09,0,0,3,1,0,0
17,0,1,9.26,92.99,88.29,0,0,2,2,2,0
14,0,0,11.92,70.34,84.58,0,1,0,1,0,1
18,1,2,12.68,66.41,98.28,1,0,2,0,0,0
12,0,2,1.9,72.7,69.68,0,1,0,2,0,1
14,0,1,13.81,88.12,56.54,0,0,1,1,0,1
15,0,0,5.22,56.3,83.59,0,2,3,0,1,1
13,0,0,14.42,59.82,86.47,0,0,1,0,2,1
17,0,0,16.54,97.57,78.75,0,0,1,0,0,1
15,1,1,16.18,58.77,60.34,1,1,0,2,2,1
15,0,0,11.27,78.39,75.22,0,0,2,2,0,1
16,0,1,10.64,78.97,65.61,0,1,4,1,1,0
13,0,1,3.29,74.48,71.37,0,2,0,0,0,0
15,0,1,15.62,82.24,82.26,1,1,4,1,2,0
15,1,2,5.79,61.49,87.26,1,1,1,1,2,0
13,1,0,10.19,77.63,61.61,0,0,4,0,1,1
13,1,0,6.04,68.61,70.27,0,2,2,1,2,0
15,1,1,3.11,83.08,63.46,1,1,0,2,2,1
13,0,1,12.78,57.06,59.93,1,0,2,1,0,1
15,1,0,1.56,78.54,89.17,1,0,2,0,2,0
15,0,1,15.1,59.26,95.46,0,1,0,2,0,1
16,0,0,6.69,63.93,68.51,0,0,2,2,1,1
12,0,2,0.5,60.94,87.56,1,1,3,1,2,0
15,0,1,10.47,59.14,94.85,0,1,3,1,0,1
14,0,0,1.41,91.29,92.31,1,1,3,2,2,1
17,1,1,5.89,64.29,59.14,1,2,4,1,0,1
18,1,0,14.29,96.36,97.81,1,1,2,0,1,0
12,1,0,1.72,98.5,68.83,0,0,0,1,0,1
12,1,1,16.87,78.56,66.96,1,2,0,1,2,0
12,0,2,0.57,57.15,53.12,1,0,4,2,0,1
16,1,0,5.31,68.73,74.31,0,2,0,1,2,0
15,0,0,14.95,89.89,55.45,1,2,3,1,1,1
16,1,0,6.67,68.37,62.43,0,2,2,1,0,1
15,0,2,2.49,54.35,65.85,1,2,0,0,2,1
16,0,2,7.52,77.84,90.44,0,0,0,1,2,0
16,1,1,5.77,92.26,93.77,1,1,1,0,2,0
17,0,2,16.93,89.8,65.12,1,0,1,0,0,1
14,0,1,6.61,58.76,92.93,1,1,1,0,0,1
16,1,1,15.88,83.64,92.86,1,0,2,0,0,0
17,0,2,17.89,61.03,88.23,1,2,3,2,1,1
13,1,1,8.96,60.91,57.33,0,2,3,0,2,1
14,1,2,18.24,93.7,84.52,0,1,3,1,2,0
16,1,1,7.86,62.48,97.25,1,1,2,0,1,0
18,0,2,19.3,63.16,84.13,1,0,2,1,1,0
12,0,2,2.24,50.03,66.58,1,1,1,0,0,1
13,0,1,13.9,93.53,75.03,0,0,0,2,0,1
13,1,0,10.13,89.63,82.29,0,1,4,0,0,1
17,0,1,8.06,81.37,75.53,1,1,4,0,0,0
13,1,2,12.84,87.51,56.0,0,1,0,2,0,1
14,1,0,14.23,57.6,65.6,1,2,1,0,0,1
16,0,1,0.59,72.92,90.12,1,2,0,1,1,0
16,1,1,3.76,67.56,93.07,1,0,0,0,1,0
18,0,1,14.4,54.69,56.87,0,1,4,0,1,1
12,0,0,13.49,74.31,97.62,1,0,1,0,2,0
17,0,2,19.34,96.04,66.44,1,1,2,2,2,1
12,0,1,15.34,52.0,83.12,1,2,4,0,0,1
13,0,1,19.04,64.57,87.59,0,2,2,0,1,0
18,1,1,14.2,60.38,90.6,0,1,1,1,2,0
12,1,1,6.31,61.91,97.29,0,1,0,0,2,0
14,1,1,2.55,95.42,65.65,1,2,3,0,1,0
16,0,2,15.75,73.4,92.93,0,2,3,0,2,0
13,0,2,13.06,73.31,56.58,1,0,1,0,2,0
18,0,1,1.44,88.03,85.25,0,2,3,1,1,0
12,1,0,7.52,57.72,87.1,1,1,2,1,2,1
17,0,2,19.16,74.36,83.89,0,0,3,2,1,0
14,1,0,10.26,71.5,62.62,1,1,1,0,2,1
14,1,2,8.94,79.85,93.65,0,0,1,2,1,0
12,0,1,9.43,99.98,58.44,0,1,2,2,2,1
16,0,2,4.57,88.47,52.68,0,2,3,0,2,0
12,1,1,7.69,69.89,85.87,1,1,3,1,1,0
13,0,2,7.71,91.38,73.77,0,0,0,1,2,0
12,1,1,1.52,58.54,92.45,0,1,4,0,1,0
14,0,1,15.47,51.52,69.17,0,0,1,0,1,1
18,0,1,8.62,60.22,58.41,0,1,0,1,2,1
12,1,1,16.53,67.02,91.82,1,2,1,0,0,0
16,0,0,17.08,75.53,77.45,0,2,0,0,2,0
18,1,1,4.63,80.76,59.46,1,1,4,0,0,1
17,0,0,13.32,95.53,86.02,1,1,0,1,0,1
15,1,0,9.71,75.49,75.56,1,1,1,2,2,1
12,1,1,17.66,75.06,80.22,1,0,3,2,0,1
16,0,0,4.71,52.51,73.04,0,1,1,0,1,1
18,1,2,13.72,51.75,91.44,1,1,2,1,1,0
